LLM File,Program,KQuery File,Similarity (%)
result.txt,91,test000004.kquery,0.56
result.txt,91,test000005.kquery,0.38
result.txt,91,test000006.kquery,0.56
result.txt,91,test000007.kquery,0.38
result.txt,91,test000008.kquery,0.56
result.txt,91,test000009.kquery,0.56
result.txt,91,test000010.kquery,0.38
result.txt,91,test000011.kquery,0.37
result.txt,91,test000012.kquery,0.56
result.txt,91,test000013.kquery,0.56
result.txt,91,test000014.kquery,0.56
result.txt,91,test000015.kquery,0.38
result.txt,91,test000016.kquery,0.56
result.txt,91,test000017.kquery,0.56
result.txt,91,test000018.kquery,0.38
result.txt,91,test000019.kquery,0.39
result.txt,91,test000020.kquery,0.56
result.txt,91,test000021.kquery,0.60
result.txt,91,test000022.kquery,0.38
result.txt,91,test000023.kquery,0.56
result.txt,91,test000024.kquery,0.56
result.txt,91,test000025.kquery,0.30
result.txt,91,test000026.kquery,0.56
result.txt,91,test000027.kquery,0.57
result.txt,91,test000028.kquery,0.56
result.txt,91,test000029.kquery,0.57
result.txt,91,test000030.kquery,0.57
result.txt,91,test000031.kquery,0.56
result.txt,91,test000032.kquery,0.56
result.txt,91,test000033.kquery,0.56
result.txt,91,test000034.kquery,0.56
result.txt,91,test000035.kquery,0.56
result.txt,91,test000036.kquery,0.56
result.txt,91,test000037.kquery,0.49
result.txt,91,test000038.kquery,0.61
result.txt,91,test000039.kquery,0.56
result.txt,91,test000040.kquery,0.56
result.txt,91,test000041.kquery,0.57
result.txt,91,test000042.kquery,0.56
result.txt,91,test000043.kquery,0.56
result.txt,91,test000044.kquery,0.58
result.txt,91,test000045.kquery,0.61
result.txt,91,test000046.kquery,0.56
result.txt,91,test000047.kquery,0.60
result.txt,91,test000048.kquery,0.56
result.txt,91,test000049.kquery,0.61
result.txt,91,test000050.kquery,0.49
result.txt,91,test000051.kquery,0.56
result.txt,91,test000052.kquery,0.61
result.txt,91,test000053.kquery,0.56
result.txt,91,test000054.kquery,0.61
result.txt,91,test000055.kquery,0.56
result.txt,91,test000056.kquery,0.56
result.txt,91,test000057.kquery,0.57
result.txt,91,test000058.kquery,0.58
result.txt,91,test000059.kquery,0.61
result.txt,91,test000060.kquery,0.56
result.txt,91,test000061.kquery,0.56
result.txt,91,test000062.kquery,0.57
result.txt,91,test000063.kquery,0.49
result.txt,91,test000064.kquery,0.56
result.txt,91,test000065.kquery,0.55
result.txt,91,test000066.kquery,0.61
result.txt,91,test000067.kquery,0.60
result.txt,91,test000068.kquery,0.56
result.txt,91,test000069.kquery,0.67
result.txt,91,test000070.kquery,0.56
result.txt,91,test000071.kquery,0.66
result.txt,91,test000072.kquery,0.56
result.txt,91,test000073.kquery,0.56
result.txt,91,test000074.kquery,0.56
result.txt,91,test000075.kquery,0.56
result.txt,91,test000076.kquery,0.56
result.txt,91,test000077.kquery,0.49
result.txt,91,test000078.kquery,0.60
result.txt,91,test000079.kquery,0.56
result.txt,91,test000080.kquery,0.66
result.txt,91,test000081.kquery,0.66
result.txt,91,test000082.kquery,0.57
result.txt,91,test000083.kquery,0.56
result.txt,91,test000084.kquery,0.60
result.txt,91,test000085.kquery,0.56
result.txt,91,test000086.kquery,0.56
result.txt,91,test000087.kquery,0.66
result.txt,91,test000088.kquery,0.66
result.txt,91,test000089.kquery,0.49
result.txt,91,test000090.kquery,0.60
result.txt,91,test000091.kquery,0.61
result.txt,91,test000092.kquery,0.38
result.txt,91,test000093.kquery,0.57
result.txt,91,test000094.kquery,0.60
result.txt,91,test000095.kquery,0.61
result.txt,91,test000096.kquery,0.56
result.txt,91,test000097.kquery,0.56
result.txt,91,test000098.kquery,0.57
result.txt,91,test000099.kquery,0.61
result.txt,91,test000100.kquery,0.38
result.txt,91,test000101.kquery,0.53
result.txt,91,test000102.kquery,0.38
result.txt,91,test000103.kquery,0.57
